slug, new_tags
que-es-el-lenguaje-r-y-como-puede-ayudarte-en-tus-proyectos,"[r, lenguaje, datos, estadística, código, sobre, aprender, programación, proyectos, abierto]"
caracteristicas-y-tips-utiles-que-te-ayudaran-sacar-el-maximo-provecho-de-conda,"[conda, paquetes, entorno, entornos, ejecuta, comandos, virtuales, comando, ayuda, sobre]"
razones-para-usar-python-en-tu-proximo-proyecto-de-investigacion,"[python, código, lenguaje, librerías, investigación, cantidad, programación, análisis, herramientas, creación]"
cinco-cosas-que-no-debes-olvidar-al-trabajar-con-markdown,"[markdown, texto, cualquier, formato, so, escribir, html, artículos, editores, ejemplo]"
reorganiza-tus-tablas-con-tidyr,"[artículo, tidyr, r, veremos, biblioteca, funciones, bolivia, documentación, reorganiza, tablas]"
que-son-los-datos-abiertos,"[datos, abiertos, uso, forma, también, ciencia, información, transparencia, investigaciones, proceso]"
te-hablamos-de-las-licencias-mas-utilizadas-en-proyectos-de-ciencia-abierta,"[licencia, licencias, software, proyectos, abierta, ciencia, cuales, libre, bajo, cc]"
como-instalar-y-comenzar-utilizar-conda,"[conda, anaconda, paquetes, miniconda, ventana, terminal, instalar, sistema, entornos, python]"
la-investigacion-abierta-el-manejo-de-repositorios-y-control-de-versiones,"[investigación, repositorios, versiones, control, abierta, investigaciones, información, personas, manera, ello]"
cuales-son-los-principios-de-la-investigacion-reproducible,"[investigación, reproducible, herramientas, datos, resultados, forma, principios, importante, entorno, otros]"
cinco-cosas-que-te-ayudaran-gestionar-mejor-los-datos-de-tus-proximos-proyectos,"[datos, investigación, gestión, sobre, proyectos, proyecto, tema, información, otras, operaciones]"
la-investigacion-abierta-podria-cambiar-el-futuro-de-la-investigacion-en-ciencias-puras-te-contamos-por-que,"[investigación, ciencias, resultados, abierta, puras, acceso, ciencia, datos, revistas, manera]"
si-pensado-en-como-automatizar-la-construccion-de-citas-en-tu-proyecto-te-contamos-como-hacerlo-posible,"[zotero, otros, mediante, citas, metadatos, referencias, texto, simplemente, añadir, navegador]"
los-laboratorios-sociales-y-el-manejo-del-covid-19,"[covid19, laboratorios, proyectos, medialab, sociales, pandemia, soluciones, proyecto, social, iniciativas]"
algunos-proyectos-entretenidos-de-codigo-abierto,"[algo, proyecto, open, código, ver, otros, proyectos, problemas, cada, crear]"
crea-una-nube-de-palabras-en-r-partir-de-un-documento-de-texto,"[palabras, nube, r, texto, wordcloud, artificialhttpseswikipediaorgwikiinteligenciaartificial, usando, bibliotecas, instalación, crea]"
te-contamos-sobre-la-comunidad-ropensci,"[ropensci, comunidad, revisión, paquetes, paquete, software, proceso, ciencia, pares, desarrollo]"
automatizacion-de-tareas-via-bash,"[bash, comandos, ficheros, comando, directorio, nombre, directorios, shell, home, cd]"
todo-lo-que-debes-saber-sobre-la-investigacion-colaborativa,"[investigación, colaborativa, cada, importante, personas, trabajo, equipo, confianza, manera, comunicación]"
que-es-el-open-science-framework,"[osf, science, open, proyecto, framework, investigación, usuarios, manera, archivos, for]"
como-presentar-tu-codigo-como-un-articulo-cientifico,"[código, investigación, forma, software, datos, desarrollo, problemas, tiempo, herramientas, manera]"
algunos-proyectos-de-ciencia-e-inteligencia-ciudadana-para-atender-la-pandemia-del-covid-19,"[información, covid19, personas, ciudadana, sobre, plataforma, ciencia, proyecto, inteligencia, enfermedad]"
git-de-en-diez-sencillos-pasos,"[repositorio, git, página, github, podrás, pasos, cuenta, simplemente, commit, archivos]"
que-son-los-laboratorios-sociales-y-como-pueden-ayudar-los-equipos-de-investigacion,"[proyectos, sociales, espacios, personas, laboratorios, laboratorio, trabajo, forma, ciencia, comunidad]"
herramientas-de-visualizacion-en-python,"[visualización, python, bibliotecas, gráficos, biblioteca, lenguaje, código, herramientas, pocas, líneas]"
epigraphhub-un-proyecto-de-código-abierto-para-el-analisis-de-datos-de-calidad,"[datos, epigraphhub, análisis, 2022, proyecto, gráficos, código, abierto, plataforma, bases]"
que-hemos-aprendido-gracias-la-ciencia-abierta-del-manejo-de-pandemias,"[información, sobre, datos, covid19, abierta, pandemias, abierto, pandemia, ciencia, gripe]"
que-es-el-codigo-abierto-y-como-puede-ayudarte,"[código, abierto, software, serie, sistema, varios, decir, cualquier, proyectos, manera]"
te-mostramos-algunos-repositorios-con-datos-sobre-el-covid-19,"[virus, artículos, repositorios, sobre, covid19, personas, datos, número, salud, acceso]"
aspectos-clave-en-el-manejo-de-equipos-de-ciencia-abierta,"[abierta, ciencia, open, investigación, proyectos, software, herramientas, science, equipos, uso]"
