slug,category,tags
ethereum-merge-is-coming-pero-que-significa,"[tecnology]
[tecnología]","[ethereum, transactions, bitcoin]
[ethereum, transacciones, bitcoin]"
pyopensci-un-promotor-de-la-ciencia-abierta,"[open science/open peer review, open source, programming languages/Python][ciencia abierta/revisión abierta por pares, código abierto, lenguajes de programación/Python]","[pyopensci, package, scientific, review, Python][pyopensci, package, científico, revisión, Python]"
ya-probado-los-cuadernos-de-jupyter-te-explicamos-que-son-y-como-te-ayudaran-en-tu-proxima-investigacion,"[open science/open source, programmig/ide]
[ciencia abierta/código abierto, programación/ide]","[jupyter, notebook, interface, application]
[jupyter, cuaderno, interfz, aplicación]"
que-necesitas-para-desarrollar-en-la-web3,[software development/UI-UX][desarrollo de software/UI-UX],"[web3, crypto, developer][web3,cripto, desarrollador]"
te-hablamos-del-uso-de-dashboards-para-visualizacion-de-datos-de-tu-proximo-proyecto,"[open science]
[open science]","[visualization, projects, data, code, dashboard]
[visualización, proyectos, datos, código, dashboard]"
si-ya-usas-codigo-abierto-te-contamos-como-puedes-sacarle-mayor-provecho-tu-documentacion-para-tus-articulos-y-publicaciones,"[open science/open source, software development/documentation][ciencia abierta/código abierto, desarrollo de software/documentación]","[documentation, code, projects, articles]
[documentación, código, proyectos, artículos]"
code-abbey-una-plataforma-mejorar-tu-habilidad-en-programacion,"[programming, open science/open source]
[programación, ciencia abierta/código abierto]","[plataforma, abbey]
[platform, abbey]"
herramientas-de-visualizacion-en-r,"[open science/open source, programming languages/R][ciencia abierta/código abierto, lenguajes de programación/R]","[data, visualization, graph, lattice, ggplot2, tidyverse, ggmap, plotly, shiny][datos, visualización, gráfico, lattice. ggplot2, tidyverse, ggmap, plotly, shiny]"
como-documentar-tu-proyecto-de-ciencia-abierta,"[open science, software development/documentation]
[ciencia abierta, desarrollo de software/documentación]","[projects]
[proyectos]"
que-es-el-data-version-control-dvc-y-por-que-es-necesario-que-tu-equipo-sepa-como-utilizarlo,"[open science/open research, software development/version control][ciencia abierta/investigación abierta, desarrollo de software/control de versiones]","[dvc, data, versioning][dvc, datos, versionado]"
la-importancia-de-la-integridad-en-los-datos-manejados-en-los-dashboards,"[data science]
[ciencia de datos]","[data, dashboard, graphs, tools, code, tools, integrity]
[datos, dshboard, gráficos, herramientas, código, integridad]"
te-mostramos-cinco-librerias-en-python-para-tu-proximo-proyecto-de-ciencia-abierta,"[open science/open source, programming languages/Python][ciencia abierta/código abierto, lenguajes de programación/Python]","[data, visualization, graph, pandas, scipy, matplotlib, seaborn, bokeh][datos, visualización, gráfico, pandas, scipy, matplotlib, seaborn, bokeh]"
apache-superset,"[data science, programming languages/sql]
[ciencia de datos, lenguajes de programación, sql]","[apache superset, data, columns, explore]
[apache superset, datos, columnas, explorar]"
dataverse-y-su-potencial-para-proyectos-de-ciencia-abierta,"[open science/open data, open access][ciencia abierta/datos abiertos, acceso abierto]","[dataverse, data, dataset, repositories][dataverse, datos, conjunto de datos, repositorios]"
nft-mas-que-un-jpg,"[tecnology]
[tecnología]","[nft, money]
[nft, dinero]"
tres-proyectos-de-ciencia-ciudadana-que-te-sorprenderan,[open science/citizen science][ciencia abierta/ciencia ciudadana],"[science, community, projects, citizen][ciencia, comunidad, proyectos, ciudadana]"
te-ensenamos-lugares-para-aprender-los-fundamentos-de-la-ciencia-abierta,"[open science]
[ciencia abierta]","[data, research, manual]
[datos, investigación, manual]"
primeros-pasos-con-spyder,"[open science/open source, programming/IDE, programming languages/Python][ciencia abierta/código abierto, programación/IDE, lenguajes de programación/Python]","[spyder, code, py, variables][spyder, código, py, variables]"
ibis-framework,"[open science/open data, open access][ciencia abierta/datos abiertos, acceso abierto]","[ibis, dataframe, data, pandas]
[ibis, dataframe, datos, pandas]"
