slug,categorias,tags
algunos-proyectos-entretenidos-de-codigo-abierto,"[ciencia abierta, código abierto]","[código, proyectos]"
r-nube-de-palabras,"[ciencia abierta, código abierto, R, ciencia de datos, minería de datos]","[nube de palabras, tm]"
te-contamos-sobre-la-comunidad-ropensci,"[ciencia abierta,  R]","[comunidad, ropensci, paquetes, revisión]"
automatizacion-de-tareas-via-bash,[desarrollo de software],"[bash, automatización]"
todo-lo-que-debes-saber-sobre-la-investigacion-colaborativa,"[ciencia abierta,  investigación abierta]","[investigación colaborativa, equipos]"
que-es-el-open-science-framework,"[ciencia abierta, investigación abierta]","[osf, framework, proyectos]"
como-presentar-tu-codigo-como-un-articulo-cientifico,"[ciencia abierta, código abierto]","[artículos, publicación, código, herramientas]"
algunos-proyectos-de-ciencia-e-inteligencia-ciudadana-para-atender-la-pandemia-del-covid-19,[ciencia abierta],"[covid19, proyectos, ciencia ciudadana]"
git-de-en-diez-sencillos-pasos,"[desarrollo de software, control de versiones]","[git, repositorios, github]"
que-son-los-laboratorios-sociales-y-como-pueden-ayudar-los-equipos-de-investigacion,[ciencia abierta],"[laboratorios sociales, comunidad, ciencia ciudadana]"
herramientas-de-visualizacion-en-python,[Python],"[visualización de datos, bibliotecas, código, herramientas]"
epigraphhub,"[ciencia abierta, código abierto]","[epigraphhub, visualización de datos, análisis, datos, epidemiología]"
que-hemos-aprendido-gracias-la-ciencia-abierta-del-manejo-de-pandemias,"[ciencia abierta, investigación abierta]","[pandemias, covid19]"
que-es-el-codigo-abierto-y-como-puede-ayudarte,"[ciencia abierta, código abierto]","[código, software]"
te-mostramos-algunos-repositorios-con-datos-sobre-el-covid-19,"[ciencia abierta, datos abiertos, acceso abierto]","[repositorios, datos, salud, covid19]"
aspectos-clave-en-el-manejo-de-equipos-de-ciencia-abierta,"[organización, gestión de equipos]",[investigación colaborativa]
todas-las-posibilidades-que-te-ofrece-utilizar-figshare-en-tus-proyectos,"[ciencia abierta, investigación abierta, acceso abierto]","[figshare, proyectos, plataforma]"
que-es-ciencia-ciudadana,"[ciencia abierta, investigación abierta]","[ciencia ciudadana, comunidad]"
ethereum-merge-is-coming-pero-que-significa,"[tecnología, web3]","[ethereum, transacciones, bitcoin, criptomoneda]"
pyopensci-un-promotor-de-la-ciencia-abierta,"[ciencia abierta, revisión abierta por pares, código abierto, Python]",[pyopensci]
ya-probado-los-cuadernos-de-jupyter-te-explicamos-que-son-y-como-te-ayudaran-en-tu-proxima-investigacion,"[ciencia abierta, código abierto, programación, IDE]","[jupyter, cuaderno]"
que-necesitas-para-desarrollar-en-la-web3,"[desarrollo de software, UI-UX, web3]","[cripto, desarrollador]"
te-hablamos-del-uso-de-dashboards-para-visualizacion-de-datos-de-tu-proximo-proyecto,[ciencia abierta],"[visualización de datos, proyectos, datos, código, dashboard, framework]"
si-ya-usas-codigo-abierto-te-contamos-como-puedes-sacarle-mayor-provecho-tu-documentacion-para-tus-articulos-y-publicaciones,"[ciencia abierta, código abierto, desarrollo de software]","[documentación, código, proyectos, artículos]"
code-abbey-una-plataforma-mejorar-tu-habilidad-en-programacion,[programación],"[codeabbey, retos de programación]"
herramientas-de-visualizacion-en-r,"[ciencia abierta, código abierto,  R]","[datos, visualización de datos, lattice, ggplot2, tidyverse, ggmap, plotly, shiny]"
como-documentar-tu-proyecto-de-ciencia-abierta,"[ciencia abierta, desarrollo de software]","[proyectos, documentación]"
que-es-el-data-version-control-dvc-y-por-que-es-necesario-que-tu-equipo-sepa-como-utilizarlo,"[ciencia abierta, investigación abierta, desarrollo de software, control de versiones]","[dvc, datos, versionado]"
la-importancia-de-la-integridad-en-los-datos-manejados-en-los-dashboards,[ciencia de datos],"[datos, dashboard, herramientas, código]"
te-mostramos-cinco-librerias-en-python-para-tu-proximo-proyecto-de-ciencia-abierta,"[ciencia abierta, código abierto, Python]","[datos, visualización de datos, pandas, scipy, matplotlib, seaborn, bokeh]"
apache-superset,"[ciencia de datos, SQL]","[apache superset, datos, visualización de datos, dashboard]"
dataverse-y-su-potencial-para-proyectos-de-ciencia-abierta,"[ciencia abierta, datos abiertos, acceso abierto]","[datosverse, datos, repositorios]"
nft-mas-que-un-jpg,[tecnología],"[nft, criptomoneda, Blockchain]"
tres-proyectos-de-ciencia-ciudadana-que-te-sorprenderan,[ciencia abierta],"[comunidad, proyectos, basura, ciencia ciudadana]"
te-ensenamos-lugares-para-aprender-los-fundamentos-de-la-ciencia-abierta,[ciencia abierta],"[datos, manual]"
primeros-pasos-con-spyder,"[ciencia abierta, código abierto, programación, IDE, Python]","[spyder, código]"
